번호,학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
1,"1,2학년",학문기초,제4영역:자연과학,PRI4001-01,미적분학및연습1,송윤애,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","501-142(학림관 J104 강의실),501-142(학림관 J104 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,"공과대(인문)전용, 기초수학(01분반)강좌와 동시수강",Calculus1,
2,"1,2학년",학문기초,제4영역:자연과학,PRI4001-02,미적분학및연습1,임영빈,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
3,"1,2학년",학문기초,제4영역:자연과학,PRI4001-03,미적분학및연습1,엄건애,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","102-356(학술/문화관 K356 356 강의실),102-356(학술/문화관 K356 356 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
4,"1,2학년",학문기초,제4영역:자연과학,PRI4001-04,미적분학및연습1,심호진,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
5,"1,2학년",학문기초,제4영역:자연과학,PRI4001-05,미적분학및연습1,박장희,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
6,"1,2학년",학문기초,제4영역:자연과학,PRI4001-06,미적분학및연습1,최광호,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","501-304(학림관 J311 강의실),501-304(학림관 J311 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
7,"1,2학년",학문기초,제4영역:자연과학,PRI4001-07,미적분학및연습1,조영덕,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
8,"1,2학년",학문기초,제4영역:자연과학,PRI4001-08,미적분학및연습1,박호,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","407-B122(정보문화관P P205 강의실),407-B122(정보문화관P P205 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
9,"1,2학년",학문기초,제4영역:자연과학,PRI4001-09,미적분학및연습1,임영빈,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
10,"1,2학년",학문기초,제4영역:자연과학,PRI4001-10,미적분학및연습1,송윤애,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
